epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,901.828,1.02327,1.91985,1.18975,1.0513,0.58968,0.50465,0.50892,0.33323,0.50476,0.50233,0.47957,0.30269,1.94004,3.37726,2.75096,1.83556,0.000950431,0.000950431,0.000950431
75,914.499,0.94252,1.82009,1.10435,1.01393,0.71353,0.52105,0.57933,0.37118,0.63806,0.48539,0.507,0.33482,1.94665,3.6215,2.60672,1.92753,0.000948231,0.000948231,0.000948231
76,928.313,1.03142,1.92922,1.13449,1.02216,0.6008,0.50884,0.5674,0.35983,0.56746,0.48604,0.50603,0.31412,1.84069,3.77626,2.58662,1.7552,0.000946031,0.000946031,0.000946031
77,939.518,1.01396,1.88365,1.14407,1.02278,0.58493,0.558,0.56378,0.36033,0.70771,0.47048,0.52691,0.33259,1.814,3.62103,2.74031,1.72225,0.000943832,0.000943832,0.000943832
78,952.06,0.99216,1.89205,1.12756,1.0202,0.71823,0.46839,0.56025,0.35404,0.66266,0.4214,0.47439,0.2948,1.8492,3.49029,2.59875,1.70734,0.000941632,0.000941632,0.000941632
79,964.596,1.00851,1.85874,1.14761,1.03591,0.64793,0.56149,0.5958,0.36035,0.58219,0.50562,0.50879,0.30432,1.82523,3.53151,2.49721,1.77063,0.000939433,0.000939433,0.000939433
80,975.964,0.9946,1.87915,1.11565,1.01842,0.78277,0.50186,0.57503,0.35097,0.62415,0.45598,0.4848,0.29941,1.91421,3.74996,2.49058,1.79794,0.000937233,0.000937233,0.000937233
81,987.514,1.00225,1.87096,1.12698,1.02329,0.51801,0.61018,0.57064,0.39883,0.48556,0.56689,0.51851,0.33856,1.7906,3.5171,2.64661,1.70319,0.000935034,0.000935034,0.000935034
82,1002.59,0.95385,1.83855,1.08991,1.00944,0.69978,0.49134,0.57887,0.35771,0.59147,0.45082,0.49434,0.30068,1.91833,3.46854,2.66302,1.82178,0.000932834,0.000932834,0.000932834
83,1016.83,0.94437,1.81829,1.04302,1.01998,0.61675,0.569,0.57123,0.37376,0.52406,0.49833,0.46742,0.29633,1.92395,3.60135,2.55419,1.74385,0.000930634,0.000930634,0.000930634
